name,lon,lat
常熟市世贸国际饭店,120.7552795,31.67431068
同和坊饭店,120.75533,31.6809
今天饭店,120.755379,31.660709
邓家顺饭店,120.75542,31.67973
开红饭店,120.75563,31.66069
南通市水产饭店,120.75608,32.03509
百姓饭店,120.7573,31.64772
鹏程饭店,120.7618753,31.66503418
世贸国际饭店,120.7620521,31.67626871
飞龙饭店,120.76342,31.64436
老张饭店,120.76753,32.04488
哇哇叫饭店,120.77,31.66378
肖甸湖森林公园十八灶饭店,120.771398,31.175316
芦荡人家饭店,120.772247,31.561459
湖畔渔村饭店,120.772354,31.447886
春宝饭店,120.77285,31.910521
荷花饭店,120.77655,31.64757
醉云亭饭店,120.777252,31.644291
三鑫饭店,120.77902,31.61974
鲈香饭店,120.78059,31.05446
金日隆饭店,120.782379,31.09992
汾湖堤农庄饭店,120.782898,30.994471
芦苇饭店,120.79792,31.55048
三排楼饭店,120.820739,32.053924
宁通饭店,120.82301,32.03678
天福饭店,120.8274,32.02593
福客菜饭店,120.828529,31.30183
味美思饭店,120.83152,31.26382
樱花饭店,120.84348,32.04198
周庄镇华子饭店,120.84529,31.11622
海龙饭店,120.847,31.1235
昆仑饭店,120.8473358,32.00584793
双桥饭店,120.848,31.116301
虹桥饭店,120.8482048,32.003294
江边饭店,120.848503,31.115049
外婆桥老饭店,120.848996,31.114338
周庄农夫饭店,120.84951,31.116619
阿蔡饭店,120.84967,31.45758
周庄家常饭店,120.850899,31.11644
聚宝楼饭店,120.8516,31.11595
小济公饭店,120.851692,31.43882
南通金陵华侨饭店,120.854103,32.027587
全福饭店,120.860008,31.367121
王子饭店,120.862106,32.013031
沁兰饭店,120.86305,32.00228
南通市婓饭店,120.865547,32.011768
如东饭店,120.86586,32.00899
新疆塔里木清真饭店,120.86721,32.01415
西汇饭店,120.8713,31.26977
剑华饭店,120.871613,31.269291
梅苑饭店,120.87355,31.70497
南通文峰饭店,120.875656,32.003257
南通大饭店,120.877363,32.0085303
龙飞饭店,120.88088,31.37356
温州饭店,120.884338,31.598731
王忠特色炒饭店,120.885521,32.00182
西塘湿婆罗多饭店,120.8903072,30.948148
好人缘饭店,120.890686,30.94507
聚福楼饭店,120.8915829,30.94502019
迎春饭店,120.89183,31.949409
新雅饭店,120.89347,30.98036
又一村饭店,120.894485,30.944191
丁记饭店,120.8945066,30.94557353
鲁家桥饭店,120.894997,30.94463
醉香楼饭店,120.895321,30.947922
西塘忆江南饭店,120.895668,30.943899
湿婆罗多饭店,120.897636,30.945554
绿江南饭店,120.899,31.1752
剧场饭店,120.90197,31.17732
湘江人家饭店,120.9084616,31.3426633
凯凯饭店,120.920578,31.729139
华信泾河饭店,120.924568,31.400803
陈辰饭店,120.93998,31.91539
就到老饭店,120.942017,31.437794
水秀饭店,120.94344,31.40728
老家饭店,120.94403,31.4045
富利天大饭店,120.944618,31.3815
禾家欢汇煲堂饭店,120.9448,31.40451
嘉顿国际饭店,120.9522,31.38921
珍宝饭店,120.952988,31.37759
南街口饭店,120.95478,31.37788
巴城老街饭店,120.955398,31.383304
晓汤特色饭店,120.95645,31.38179
鹿城饭店,120.956993,31.38044
凯悦国际大饭店,120.964958,31.403231
同丰饭店,120.96793,31.38588
东方凯悦国际饭店,120.970757,31.383642
沿江萍萍饭店,120.97441,31.73859
美佳饭店,120.976357,31.37949
圆明饭店,120.980651,31.362197
川湘缘饭店,120.983643,31.39501
隆祺建国饭店,120.989575,31.357238
金桥饭店,120.994888,31.71563
开心饭店,121.001938,31.338793
川号子饭店,121.0021896,31.34127998
老四川饭店,121.01967,31.35617
百福来饭店,121.021881,31.12466
淀山湖饭店,121.033203,31.099857
朱家角绿都饭店,121.036575,31.100037
公园饭店,121.04544,31.3126
可醉饭店,121.053695,31.113134
孙记饭店,121.054718,31.112503
朱家角玉兰饭店,121.0565541,31.10965279
八仙楼饭店,121.056725,31.109232
小江南饭店,121.057434,31.108524
正先饭店,121.05858,31.11022
弘德楼饭店,121.05921,31.11022395
渡口饭店,121.0597305,31.71804047
王琴饭店,121.059776,31.108589
海缘饭店,121.085358,31.59342
惠友饭店,121.09266,31.31114
小北门饭店,121.10527,31.45338
沐阳饭店,121.12419,31.4635
钱浦饭店,121.134476,31.362949
为民饭店,121.14736,31.29606
严泗桥饭店,121.15277,31.2986
老街坊河鲜土菜饭店,121.15766,31.2926
玉兰饭店,121.1630096,31.29725075
林静饭店,121.173439,31.361883
阿国饭店,121.175919,31.291267
小黄饭店,121.193039,31.471359
阿二饭店,121.21347,31.602989
浦金饭店,121.216377,31.603649
平城饭店,121.22614,31.38378
唐行饭店,121.241127,31.461651
迎园饭店,121.242797,31.380245
忠效农家乐饭店,121.243813,31.734819
嘉宾饭店,121.246556,31.388565
品海饭店,121.259346,31.407058
新鑫海鲜饭店,121.266715,31.51292911
瑞安山海饭店,121.277817,31.498053
裕景大饭店,121.307922,31.42104
老西门农家乐大饭店,121.392171,31.620321
佳城饭店,121.3925,31.62717
金利来饭店,121.39494,31.62679
